Destination,Budget,Company,No. of Days,Range,Season,Mode of Transport,Type of Vacation,No. of Members
Kodaikanal       ,40000, Friends         ,4, State   ,Monsoon  , Road              , Relaxation      ,2
Khajjiar         ,40000, Friends        ,3,State , Any  , Road             , Adventure       ,4
Kanha NP         ,50000,Friends      ,5, State   ,Winter     , Road              ,Cultural               ,2
Leh             ,70000, Friends          ,6, State , Summer , Road              , Adventure        ,4
Kanyakumari        ,55000,Friends      ,4, State      ,Any      ,Train          ,Relaxation             ,4
Manesar          ,35000, Friends          ,5, State , Any   , Road              , Adventure       ,3
Tawang           ,50000, Friends        ,5, State , Summer , Road               , Adventure        ,3
Kanchipuram        ,50000,Friends      ,4, State            ,Any      ,Train,Relaxation              ,5
Mahabalipuram   ,35000, Family           ,4, State , Winter , Road              , Cultural         ,2
Coonoor           ,45000, Family          ,3, State , Any   , Train              , Adventure      ,3
Kodaikanal      ,45000, Family           ,4, State , Any    , Road               , Cultural         ,3
Kovalam         ,40000, Friends          ,4, State , Winter , Air               , Relaxation       ,4
Mumbai          ,30000, Friends          ,4, State , Any    , Train             , Devotional       ,5
Hampi           ,20000, Family           ,4, State , Winter , Road              , Enjoy            ,2
Wayanad         ,35000, Family           ,5, State , Monsoon, Road               , Adventure        ,3
Kodaikanal       ,40000,Friends      ,4, State   ,Winter   ,  Road            ,Relaxation           ,3
Gangtok         ,50000, Family           ,7, State , Winter , Air               , Relaxation       ,3
Andaman         ,40000, Friends          ,6, State , Any    , Road              , Adventure        ,4
Mysuru          ,30000, Friends          ,3, State , Any    , Train             , Informational    ,3
Puri             ,35000, Family         ,3, State , Summer , Air               , Cultural          ,4
Kovalam         ,55000, Family           ,4, State , Winter , Road               , Relaxation       ,4
Kanchipuram         ,55000, Friends        ,4, State , Winter ,  Road            , Cultural        ,2
Majuli Island   ,45000,Family       ,4, State   ,Any      ,Train           ,Relaxation            ,3
Rajasthan       ,65000, Family           ,6, State , Monsoon , Road              , Enjoy            ,3
Sanchi           ,35000, Family         ,3, State , Monsoon, Road              , Cultural          ,2
Darjeeling      ,45000, Friends          ,5, State , Monsoon, Road               , Adventure        ,4
Kovalam         ,40000, Family           ,4, State , Winter , Road               , Relaxation       ,5
Kerala          ,50000, Friends          ,5, State , Winter , Road               , Adventure        ,3
Badami          ,30000, Family           ,3, State , Any    , Air               , Cultural         ,3
Kerala          ,50000, Family           ,6, State , Any    , Road              , Adventure        ,4
Tiruchirapalli   ,35000, Friends       ,3, State , Any   , Road              , Adventure      ,3
Coonoor          ,45000,Family       ,3, State   , Monsoon , Road             ,Relaxation          ,2
Kabini          ,50000, Family           ,6, State , Any    , Road              , Adventure        ,4
Shillong        ,60000, Friends          ,6, State , Monsoon, Air                , Adventure        ,5
Panhala          ,30000, Friends         ,3, State  ,Any          , Road                , Cultural        ,4
Tiruchirapalli      ,35000, Friends         ,3, State,Monsoon , Road              ,Cultural         ,2
Coonoor           ,35000, Friends         ,3, State   , Any , Train             , Cultural          ,4
Kanyakumari      ,40000, Family          ,4, State , Winter , Road             , Relaxation       ,2
Kedarnath       ,45000, Friends          ,5, State , Summer , Helicopter        , Devotional       ,3
Kodaikanal         ,50000,Family       ,4, State             ,Any         ,Train,Relaxation              ,2
Maheshwar        ,25000, Friends          ,3, State , Summer , Road              , Devotional       ,3
Ajanta Ellora    ,40000,  Friends        ,3, State , Any    , Train           , Religious       ,4
Kovalam         ,40000, Friends          ,4, State , Winter , Road               , Relaxation       ,4
Mumbai          ,45000, Family           ,4, City  , Any    , Train             , Enjoy            ,3
Jaipur          ,30000, Family           ,4, City  , Any    , Train             , Devotional       ,5
Coorg           ,45000, Friends          ,5, State , Any    , Road              , Enjoy            ,4
Shirdi          ,25000, Family           ,3, State , Any    , Road              , Cultural  ,4
Mahabalipuram   ,35000, Family           ,4, State , Winter , Road               , Cultural         ,3
Hyderabad       ,30000, Friends          ,4, City  , Any    , Road              , Enjoy            ,2
Kanyakumari      ,45000,Friends      ,4, State           ,Any  ,Train , Adventure       ,4
Jaipur          ,35000, Family           ,4, City  , Any    , Road              , Religious       ,5
Mahabalipuram     ,50000,Family       ,4, State   ,Winter   ,Train         ,Relaxation           ,3
Shillong        ,45000, Family           ,6, State , Any   , Road              , Adventure        ,5
Kodaikanal       ,50000, Family       ,4, State          ,Any ,Road               ,Relaxation              ,3
Kodaikanal       ,55000,Family       ,4, State    ,Winter    ,Train    ,Religious            ,5
Hogenakkal       ,35000,Friends          ,5, State  , Monsoon, Road                ,  Adventure       ,3
Madurai          ,35000, Friends         ,3, State  , Monsoon, Train             , Informational    ,3
Kanyakumari       ,40000, Friends        ,4, State , Any , Road             , Adventure        ,2
Rajasthan       ,50000, Family           ,5, State , Winter , Road              , Adventure        ,3
Kanyakumari     ,40000, Friends          ,4, State , Winter , Train              , Relaxation       ,4
Thanjavur          ,45000, Family          ,5, State      , Summer , Road              ,Relaxation        ,3
Rameshwaram      ,45000,Family       ,4, State   ,Winter    ,Train ,Relaxation           ,3
Udaipur         ,40000, Family           ,4, State , Winter , Air               , Cultural         ,3
Kodaikanal         ,45000, Family       ,4, State    ,Winter    ,Road         ,Relaxation              ,3
Gangtok         ,40000, Family           ,6, State , Any    , Road              , Adventure        ,5
Nainital        ,40000, Friends          ,6, State , Any    , Road              , Adventure        ,3
Munnar          ,40000, Family           ,5, State , Winter , Road              , Adventure        ,3
Alleppey        ,55000, Friends          ,4, State , Winter , Road               , Relaxation       ,5
Bikaner         ,45000, Friends          ,5, State , Winter , Road               , Adventure        ,4
Kovalam         ,40000, Friends          ,4, State , Winter , Road               , Relaxation       ,4
Rameshwaram       ,45000, Family          ,4, State , Winter , Road                , Relaxation       ,3
Majuli Island   ,45000, Friends          ,5, State , Any    , Road              , Adventure      ,3
Rameshwaram        ,40000, Family          ,4, State    , Any , Helicopter        , Adventure       ,4
Varanasi        ,30000, Family           ,4, City  , Winter , Train             , Cultural         ,4
Vrindavan        ,45000, Friends          ,6, State , Monsoon, Train             , Devotional       ,3
Kedarnath       ,40000, Friends          ,5, State , Monsoon, Helicopter        , Devotional       ,3
Shirdi          ,45000, Family           ,3, State , Any    , Air               , Relaxation       ,4
Pondicherry     ,45000, Family           ,3, State , Any    , Road               , Relaxation       ,4
Coonoor            ,55000,Family       ,3, State       ,Any  ,Train  ,Relaxation          ,4
Rameshwaram       ,45000,Friends      ,4, State       ,Any         ,Train  ,Religious         ,5
Darjeeling      ,50000, Friends          ,5, State , Monsoon, Road              , Adventure        ,4
Manali          ,50000,Friends      ,6, State        ,Any        ,Train                ,Cultural               ,4
Ziro Valley      ,50000,Family       ,5, State   ,Winter    , Ferry            ,Cultural          ,3
Rameshwaram      ,50000,Family       ,4, State   ,Any     ,Train  ,Relaxation         ,3
Thanjavur           ,50000,Family       ,5, State   ,Any        ,Train   ,Cultural          ,2
Mount Abu       ,40000, Friends          ,4, State , Winter , Road              , Relaxation       ,2
Rameswaram      ,30000, Family           ,3, State , Any    , Road              , Relaxation       ,4
Kaziranga       ,50000, Family           ,5, State , Winter , Road               , Adventure        ,4
Bundi            ,40000, Family          ,3, State , Any    , Road              , Cultural       ,4
Kanyakumari     ,40000, Family           ,4, State , Winter , Road               , Relaxation       ,3
Bikaner         ,50000, Friends          ,5, State , Winter , Road               , Adventure        ,4
Tirthan Valley  ,50000, Friends          ,4, State , Any    , Air               , Adventure        ,5
Ranakpur       ,35000, Family           ,3, State , Any    , Road               , Informational    ,2
Munnar           ,35000, Family         ,3, State , Summer , Road              , Cultural        ,3
Badami          ,35000, Family           ,3, State , Any    , Road               , Cultural         ,3
Gokarna         ,40000, Family           ,4, State , Any    , Road               , Relaxation       ,2
Gwalior          ,35000, Friends          ,4, State , Summer , Helicopter        , Informational    ,3
Lonavala         ,35000, Friends        ,3, State , Monsoon , Road                ,Cultural             ,3
Puri             ,45000,Friends      ,3, State         ,Any        ,Road       ,Cultural             ,4
Gwalior          ,35000, Friends       ,3, State      , Any , Train             , Devotional       ,3
Jog Falls        ,50000,Friends      ,4, State       ,Any    ,Train ,Relaxation           ,3
Kodaikanal         ,55000,Friends      ,4, State           ,Any      ,Train ,Relaxation            ,2
Hampi           ,20000, Family           ,3, State , Winter , Road               , Cultural         ,2
Kanchipuram      ,45000,Family       ,4, State       , Any ,Train         , Adventure       ,4
Ooty               ,55000,Family       ,5, State   ,Any   ,Road              ,Cultural             ,3
Mount Abu       ,45000, Family           ,4, State , Winter , Road              , Cultural         ,2
Kodaikanal        ,45000,Friends      ,4, State           ,Any         ,Train,Cultural            ,3
Alleppey        ,40000, Friends          ,4, State , Winter , Train              , Relaxation       ,5
Udaipur         ,50000, Family           ,4, State , Winter , Air                , Relaxation       ,2
Kanchipuram         ,40000,Friends      ,4, State   ,Any         ,Train,Relaxation            ,5
Kanyakumari         ,50000,Friends      ,4, City  ,Any      , Road              ,Religious               ,5
Mahabalipuram    ,45000, Family         ,4, State , Summer , Road              , Relaxation      ,3
Thanjavur        ,35000, Friends          ,4, State , Winter , Road             , Adventure        ,3
Badami          ,30000, Friends          ,3, State , Any    , Road              , Devotional       ,5
Rajasthan       ,50000, Friends          ,4, State , Winter , Road               , Adventure        ,3
Shirdi          ,40000, Family           ,3, State , Any    , Train             , Devotional       ,4
Maldives        ,40000, Family          ,3, State , Any   , Road             , Enjoy            ,2
Tiruchirapalli      ,30000, Friends        ,3, State , Winter ,Train            , Cultural       ,3
Kanchipuram         ,55000,Friends      ,4, State           ,Any      ,Road         ,Religious         ,5
Rann of Kutch   ,55000, Friends          ,6, State , Any    , Road               , Adventure        ,4
Saputara         ,50000, Family       ,6, State      , Any   ,Train ,Cultural               ,4
Rameshwaram      ,45000, Friends          ,4, State , Summer , Road               , Adventure       ,3
Matheran         ,60000, Family          ,4, State , Monsoon, Air               ,Relaxation            ,3
Amritsar        ,40000, Family           ,4,  State, Winter , Road               , Cultural         ,2
Kodaikanal         ,40000,Friends      ,4, State   ,Any         ,Road  ,Relaxation         ,3
Mahabalipuram   ,35000, Family           ,4, State , Winter , Road              , Cultural         ,3
Goa             ,55000, Family           ,5, State , Winter , Air               , Adventure        ,4
Ranakpur       ,45000, Friends          ,3, State , Any    , Road               ,  Cultural         ,5
Kaziranga       ,50000, Friends          ,5, State , Winter , Road               , Adventure        ,4
Bundi            ,40000, Family          ,3, State , Any    , Road               , Adventure        ,4
Alleppey        ,40000, Friends          ,4, State , Winter , Road               , Relaxation       ,3
Pench NP         ,40000,Family       ,4, State   ,Winter   ,Train,  Adventure       ,3
Bharatpur        ,35000, Friends        ,5, State , Any   , Road                ,  Adventure       ,3
Alleppey        ,55000, Family           ,4, State , Winter , Road               , Relaxation       ,5
Mahabalipuram       ,45000,Friends      ,4, State      ,Winter    ,Train           ,Religious            ,3
Madurai           ,40000,Family       ,3, State   ,Any      , Road                 ,Relaxation             ,2
Hogenakkal       ,50000,Family       ,4, State         ,Any          ,Train           ,Relaxation             ,3
Mahabaleshwar   ,40000, Family           ,4, State , Summer , Road               , Relaxation       ,3
Mandu            ,50000, Family          ,5, State , Summer , Road              , Adventure       ,4
Tiruchirapalli    ,50000, Family           ,6, State , Any    , Road              , Cultural         ,4
Chikmagalur      ,50000, Friends         ,3, State         , Any    , Ferry            , Adventure      ,2
Vrindavan        ,35000, Friends      ,3,State , Any   , Road           ,Cultural         ,3
Ooty               ,55000,Family       ,4,State    ,Winter    ,Train,Relaxation           ,5
Mandu            ,40000, Family           ,5, State , Any   ,Road              , Cultural        ,3
Pushkar          ,45000,Friends      ,4, State      , Any , Train              ,Religious         ,3
Ooty               ,45000,Family       ,4, State         ,Any      , Road               ,Religious         ,5
Kovalam         ,45000, Family           ,4, State , Winter , Air                , Relaxation       ,4
Coonoor          ,45000, Family           ,3, State , Any    , Train             ,  Cultural         ,4
Mcleodganj      ,45000, Friends          ,5, State , Summer , Road              , Adventure        ,4
Kovalam         ,40000, Family           ,4, State , Winter , Road               , Relaxation       ,4
Madurai             ,50000,Family       ,2, State       ,Winter     , Road        ,Cultural               ,4
Matheran         ,40000, Friends          ,4, State , Any    , Road              , Cultural         ,2
Munnar            ,45000, Friends         ,5, State , Summer , Road              , Adventure       ,2
Kedarnath       ,45000, Friends          ,5, State , Summer , Road              , Adventure        ,4
Cherrapunjee   ,50000, Friends        ,5, State , Summer , Road               , Adventure        ,4
Manesar          ,50000,Friends      ,2, State      ,Any          ,Train ,Cultural                ,3
Halebid          ,35000,Family       ,3, State        , Any  , Road               ,Cultural           ,2
Binsar          ,50000, Friends          ,4, State , Summer , Road               , Adventure        ,2
Rann of Kutch   ,50000, Family           ,5, State , Any    , Road               , Adventure        ,5
Kanyakumari        ,40000,Friends      ,4, State   ,Winter     ,Train    , Relaxation      ,5
Orchha          ,40000, Family           ,3, State , Any    , Road               , Cultural         ,4
Ranakpur       ,30000, Family           ,3, State , Any    , Road              , Devotional       ,5
Mahabalipuram   ,40000, Family           ,4, State , Winter , Road              , Relaxation       ,3
Rameshwaram      ,40000,Friends      ,4, State           ,Winter     ,Road   ,Religious         ,5
Thanjavur         ,50000, Friends          ,6, State , Summer , Road              , Adventure        ,4
Agra            ,25000, Family           ,3, State , Any    , Road              , Devotional       ,5
Hyderabad       ,35000, Family           ,4, City  , Winter, Train             , Relaxation       ,4
Munnar             ,45000,Friends      ,4, State    , Any , Road             , Adventure       ,2
Ooty             ,50000, Friends          ,5, State , Summer , Road              , Adventure        ,3
Tawang          ,30000, Friends          ,6, State , Any    , Road              , Adventure        ,5
Kanyakumari        ,50000,Friends      ,4, State         ,Any         ,Train,Relaxation         ,3
Majuli Island   ,45000,Family       ,5, State   ,Any        ,Road          ,Cultural                ,3
Aurangabad      ,60000, Friends          ,6, State , Monsoon, Road             , Adventure        ,5
Rameshwaram      ,40000,Family       ,4, State   ,Any  ,Train               , Religious        ,3
Ziro Valley      ,50000,  Family         ,5, State        , Any , Train             , Adventure       ,4
Thanjavur           ,35000, Family          ,5, State , Any   , Road              , Adventure      ,3
Kanha NP         ,40000, Friends        ,5, State   , Monsoon , Road              , Cultural       ,3
Mahabalipuram       ,45000, Family           ,4, State , Winter , Road               , Relaxation       ,5
Kanyakumari       ,40000,  Family         ,4, State , Monsoon, Road             , Relaxation       ,3
Kanchipuram       ,40000,Family       ,4, State        ,Any       ,Train ,Religious            ,2
Thanjavur          ,40000, Friends         ,5, State   , Any , Road              , Adventure       ,4
Kovalam         ,45000, Friends          ,4, State , Winter , Air                , Relaxation       ,4
Majuli Island   ,45000, Family        ,4, State    , Monsoon , Train           ,Religious            ,5
Cherrapunjee   ,40000, Family          ,6, State , Summer , Road               , Adventure        ,4
Andaman         ,40000, Friends          ,6, State , Summer , Road              , Enjoy            ,3
Mysuru          ,35000, Family           ,3, State , Any    , Train              , Informational    ,3
Kodaikanal        ,45000,Friends      ,4, State      ,Any         ,Train  , Religious        ,3
Bhimbetka        ,50000,  Family         ,6, State , Summer , Road              , Adventure       ,4
Madurai            ,35000,Family       ,3, State   ,Any        , Road                ,Cultural                ,2
Ranakpur       ,35000, Family          ,3, State , Monsoon, Train              , Cultural         ,4
Mysuru          ,35000, Family           ,3, State , Any    , Train              , Informational    ,3
Ranakpur       ,40000, Family           ,3, State , Any    , Road               , Cultural         ,4
Kanchipuram        ,50000,Family       ,4, State            ,Any    ,Train ,Cultural                ,3
Ajanta Ellora    ,40000,Friends      ,3, State         ,Any        ,Train  , Cultural       ,4
Guwahati        ,50000, Family           ,4, State , Any    , Road               , Relaxation       ,3
Darjeeling      ,40000, Friends          ,5, State , Monsoon, Road              , Adventure        ,4
Puducherry      ,40000, Family           ,4, State , Summer , Road               , Relaxation       ,3
Amritsar        ,55000, Family           ,4, City  , Monsoon,Road         , Relaxation       ,2
Guwahati        ,45000, Friends          ,4, State , Winter , Air                , Cultural         ,3
Manali          ,45000, Friends          ,5, State , Summer , Road              , Adventure        ,3
Haridwar        ,30000, Family       ,3, State , Any    , Road              , Relaxation       ,3
Hogenakkal       ,35000, Family        ,4, State            , Summer , Road              , Adventure       ,3
Yercaud          ,40000, Family        ,4, State     , Any , Air                , Relaxation      ,2
Pushkar          ,40000, Family           ,3, State , Any    , Road               , Relaxation       ,3
Badami          ,30000, Family           ,3, State , Any    , Road              , Enjoy            ,5
Thanjavur           ,55000, Friends        ,5, State     ,Winter   , Road              , Adventure       ,4
Badami          ,40000, Friends          ,3, State , Any    , Road              , Enjoy            ,2
Mahabalipuram       ,40000, Friends          ,4, State , Monsoon, Road               , Enjoy            ,2
Dwarka           ,40000, Family           ,4, State , Winter , Road              , Cultural         ,2
Kodaikanal       ,40000,Family       ,4,State   ,Any          ,Road   ,Relaxation             ,4
Jaisalmer       ,70000, Friends          ,6, State , Winter , Road              , Adventure        ,4
Hyderabad       ,20000, Family           ,3, City  , Any    , Train             , Devotional       ,5
Dalhousie        ,40000, Friends       ,5, State , Any   , Road                , Cultural        ,3
Pondicherry     ,30000, Friends          ,3, State , Any    , Road              , Relaxation       ,4
Mount Abu       ,50000, Family           ,6, State , Winter ,  Road           , Cultural         ,2
Kanyakumari     ,40000, Friends          ,4, State , Winter , Air                , Relaxation       ,5
Varanasi        ,55000, Family           ,3, City  , Any    , Train             , Informational    ,3
Coonoor          ,35000, Family           ,3, State , Summer , Road               , Relaxation       ,4
Ziro Valley      ,35000, Friends          ,5, State , Monsoon, Road               , Adventure        ,3
Shirdi          ,30000, Friends          ,3, State , Any    , Train             , Informational    ,4
Jog Falls        ,40000,Friends      ,4, State           ,Any         ,Train, Cultural       ,3
Mumbai          ,45000, Family           ,3, State , Any    , Train             , Devotional       ,4
Ziro Valley      ,50000, Family         ,5, State , Monsoon, Road               , Adventure        ,3
Darjeeling      ,55000, Friends          ,5, State , Monsoon, Air               , Adventure        ,4
Hampi           ,30000, Family           ,4, State , Winter , Road              , Cultural         ,3
Bhimbetka        ,35000, Friends         ,3, State , Any   , Road              , Cultural        ,2
Jog Falls        ,50000,Family       ,3, State   ,Any       ,Train ,Relaxation             ,4
Coorg           ,50000, Family           ,3, State , Any    , Road               , Adventure        ,4
Bundi            ,35000,  Friends        ,3, State ,Any          , Road                , Cultural        ,2
Tiruchirapalli      ,55000,Family       ,3, State         ,Any        ,Road       ,Relaxation             ,4
Maldives        ,50000, Friends           ,5, State , Monsoon, Air               , Relaxation       ,5
Yercaud          ,40000,Family       ,4,State ,Monsoon , Road               ,Relaxation            ,3
Ooty               ,40000,Family       ,4, State         ,Any         ,Train     ,Religious         ,5
Puducherry      ,40000, Family           ,6, State , Winter , Road              , Relaxation       ,5
Kodaikanal      ,35000, Friends          ,4, State , Any    , Road              , Enjoy            ,2
Kashmir         ,35000, Family           ,6, State , Any    , Road               ,  Cultural         ,4
Amritsar        ,30000, Family           ,4, City  , Winter , Road              , Relaxation       ,3
Saputara         ,35000, Friends        ,4,State   ,Any      ,Train           ,Cultural                ,2
Chikmagalur      ,45000, Family          ,3, State , Any  , Road              , Cultural          ,2
Madurai           ,35000, Friends     ,3, State    , Any , Road              , Adventure       ,4
Coorg           ,50000, Friends          ,5, State , Monsoon, Road               , Adventure        ,4
Puri             ,35000,Friends          ,5, State , Monsoon, Train             , Relaxation       ,3
Ooty             ,50000,Friends      ,6, State   ,Winter    ,Road         ,Cultural              ,3
Puducherry      ,35000, Family           ,4, State , Winter , Train             , Cultural         ,3
Mahabalipuram   ,35000, Friends          ,4, State , Winter , Road              , Cultural         ,3
Gangtok         ,55000, Family           ,6, State , Winter , Road               , Adventure        ,4
Wayanad         ,35000, Family           ,5, State , Monsoon, Air               , Relaxation       ,3
Kashmir         ,60000, Friends          ,6, State , Any    , Road              , Adventure        ,4
Shravanabelagola ,55000,Friends      ,4, State      ,Any  ,Road  ,Religious              ,3
Tiruchirapalli      ,30000, Friends           ,3, State  , Winter , Road             , Relaxation       ,3
Rishikesh       ,35000, Family           ,5, State , Any    , Road              , Devotional       ,3
Munnar          ,40000, Family           ,5, State , Monsoon, Road               , Adventure        ,3
Madurai           ,40000,Friends      ,3, State   ,Any     ,Train  ,Relaxation             ,4
Dalhousie        ,40000, Friends           ,5, State , Summer , Helicopter        , Devotional       ,3
Pench NP         ,45000, Friends          ,4, State , Winter , Road               , Adventure        ,5
Rameshwaram     ,45000,Friends      ,4, State           ,Any         ,Train,Religious            ,3
Nagarhole       ,45000, Family           ,5, State , Any    , Road               , Adventure        ,4
Mahabaleshwar   ,20000, Family           ,4, State , Any    , Train             , Cultural         ,2
Mumbai          ,45000, Family           ,4, State , Summer , Helicopter        , Cultural          ,3
Rameshwaram         ,60000,Family       ,4, State        ,Any         ,Train    ,Religious            ,5
Aurangabad      ,55000, Friends          ,4, State , Winter , Road               , Adventure        ,5
Rishikesh       ,35000, Friends          ,5, State , Summer , Road              , Enjoy            ,3
Yercaud          ,40000, Friends        ,5, State   , Any , Road              , Cultural         ,4
Kaziranga       ,50000, Friends          ,5, State , Winter , Road               , Adventure        ,4
Ajanta Ellora    ,30000,  Friends        ,3, State , Any   , Train             , Cultural       ,4
Aurangabad      ,40000, Friends          ,4, State , Summer , Road               , Adventure        ,3
Udaipur         ,55000, Family           ,4, State , Winter , Air               , Relaxation       ,5
Gokarna         ,40000, Family           ,3, State , Any    , Train             , Devotional       ,5
Kedarnath       ,55000,Friends      ,4, State   ,Monsoon ,Road              ,Relaxation              ,3
Leh             ,70000, Friends          ,6, State , Summer , Road              , Adventure        ,4
Pune            ,30000, Family           ,3, City  , Any    , Road              , Cultural  ,2
Ladakh          ,70000, Family           ,4, State , Summer , Road               , Adventure        ,3
Kedarnath       ,45000, Friends          ,5, State , Winter , Train             , Adventure        ,4
Kanyakumari     ,45000, Friends          ,4, State , Winter , Air               , Relaxation       ,4
Rameshwaram        ,50000, Friends         ,4, State        ,Any      ,Road  ,Relaxation             ,3
Sanchi           ,35000, Friends     ,3, State   , Any  , Train             ,Relaxation             ,4
Binsar          ,40000, Friends          ,4, State , Summer , Road              , Adventure        ,3
Udaipur         ,40000, Family           ,4, State , Winter , Road              , Enjoy            ,3
Khajuraho       ,50000, Family           ,3, State , Any    , Road               , Cultural         ,4
Pench NP         ,50000, Friends          ,4, State ,Any , Road               , Adventure        ,3
Tawang           ,45000, Friends      ,6, State   ,Winter , Road              , Adventure       ,4
Panhala          ,50000, Family        ,5, State             ,Any      ,Road   ,Relaxation              ,3
Kodaikanal         ,50000,Family       ,4, State           , Any ,Train ,Relaxation           ,3
Pondicherry     ,35000, Family           ,3, State , Any    , Road              , Relaxation       ,4
Andaman         ,40000, Family           ,5, State , Any    , Road              , Adventure        ,3
Madurai           ,50000,Family       ,3, State       ,Any          ,Train           ,Cultural          ,2
Mahabaleshwar   ,40000, Family           ,4, State , Winter , Road               , Relaxation       ,3
Munnar             ,40000, Family           ,4, State , Winter , Air                , Relaxation       ,3
Mahabalipuram      ,40000, Family           ,5, State , Monsoon, Road               , Adventure        ,3
Mcleodganj      ,45000, Friends          ,5, State , Any    , Road               , Adventure        ,4
Mcleodganj      ,55000, Friends          ,5, State , Any    , Road               , Adventure        ,4
Saputara         ,50000, Family        ,6,State    ,Any       , Road                ,Relaxation          ,4
Kaziranga       ,55000, Family           ,5, State , Winter , Air               , Adventure        ,4
